playerId	playerName	position	team	point
69396	D. Vida	[{'y': 24, 'x': 25}, {'y': 37, 'x': 35}]	Croatia	64
8287	L. Modri\u0107	[{'y': 37, 'x': 35}, {'y': 42, 'x': 34}]	Croatia	105
55990	T. Delaney	[{'y': 63, 'x': 65}, {'y': 58, 'x': 66}]	Denmark	26
135103	A. Christensen	[{'y': 61, 'x': 57}, {'y': 65, 'x': 69}]	Denmark	47
69968	M. Brozovi\u0107	[{'y': 35, 'x': 31}, {'y': 35, 'x': 41}]	Croatia	57
3476	I. Rakiti\u0107	[{'y': 32, 'x': 35}, {'y': 35, 'x': 28}]	Croatia	100
14812	I. Peri\u0161i\u0107	[{'y': 18, 'x': 35}, {'y': 35, 'x': 26}]	Croatia	88
56394	H. Dalsgaard	[{'y': 82, 'x': 65}, {'y': 65, 'x': 74}]	Denmark	49
55968	M. Braithwaite	[{'y': 65, 'x': 74}, {'y': 72, 'x': 87}]	Denmark	26
55957	J. Knudsen	[{'y': 100, 'x': 91}, {'y': 54, 'x': 91}]	Denmark	18
14943	M. Mand\u017euki\u0107	[{'y': 46, 'x': 9}, {'y': 50, 'x': 8}]	Croatia	63
25393	D. Lovren	[{'y': 50, 'x': 8}, {'y': 46, 'x': 8}]	Croatia	92
20433	S. Kj\u00e6r	[{'y': 54, 'x': 91}, {'y': 50, 'x': 92}]	Denmark	23
69409	\u0160. Vrsaljko	[{'y': 56, 'x': 6}, {'y': 59, 'x': 4}]	Croatia	48
135747	D. Suba\u0161i\u0107	[{'y': 0, 'x': 0}, {'y': 59, 'x': 4}]	Croatia	80
105361	I. Strini\u0107	[{'y': 0, 'x': 76}, {'y': 14, 'x': 79}]	Croatia	43
135150	A. Cornelius	[{'y': 70, 'x': 41}, {'y': 68, 'x': 41}]	Denmark	9
69616	A. Rebi\u0107	[{'y': 84, 'x': 48}, {'y': 86, 'x': 74}]	Croatia	39
8480	K. Schmeichel	[{'y': 45, 'x': 9}, {'y': 15, 'x': 57}]	Denmark	61
